train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
,44,269,,,112292.1796875,226.01182556152344,,
219.92010498046875,45,274,,,,,,
,45,275,104263.09375,215.213623046875,,,,
,45,275,,,97885.6015625,213.7154083251953,,
176.69369506835938,46,279,,,,,,
,46,281,132240.9375,276.9994812011719,,,,
,46,281,,,131006.3671875,230.00067138671875,,
193.1400604248047,47,284,,,,,,
,47,287,101768.828125,226.17408752441406,,,,
,47,287,,,141455.734375,256.12811279296875,,
255.47824096679688,48,289,,,,,,
,48,293,121186.9453125,263.98388671875,,,,
,48,293,,,89826.8515625,205.2710723876953,,
338.38446044921875,49,294,,,,,,
198.8672637939453,49,299,,,,,,
,49,299,104098.5546875,229.50112915039062,,,,
,49,299,,,108526.7890625,236.13345336914062,,
,50,300,,,,,104098.5546875,229.50112915039062
